"4/2 ASTON GARDENS ","BELLEVUE HILL","NSW","2023","Unit: Standard","4","3","1","919","226","1920","Not Disclosed","02 Sep 2026","-","Pending Settlement Advice","Ray White Double Bay"
"12/9 GOOMERAH CRESCENT ","DARLING POINT","NSW","2027","Unit: Standard","1","1","-","812","-","-","$1,450,000","02 Sep 2026","-","Pending Settlement Advice","Ray White Centennial Park"
"68 EDGAR STREET ","MAROUBRA","NSW","2035","House","3","2","-","306","147","1930","Not Disclosed","02 Sep 2026","-","Pending Settlement Advice","McGrath Maroubra"
"9/120-130 BROUGHAM STREET ","POTTS POINT","NSW","2011","Unit: Standard","1","1","1","714","61","1930","$930,000","01 Sep 2026","-","Pending Settlement Advice","Bresic Whitney Darlinghurst"
"15/120-130 BROUGHAM STREET ","POTTS POINT","NSW","2011","Unit: Standard","1","1","-","61","61","1930","$920,000","01 Sep 2026","-","Pending Settlement Advice","Richardson & Wrench Elizabeth Bay & Potts Point"
"21/10 CHALLIS AVENUE ","POTTS POINT","NSW","2011","Unit: Studio","-","1","-","294","21","1930","Not Disclosed","01 Sep 2026","-","Pending Settlement Advice","Oxford Agency"
"444/8 ASCOT AVENUE ","ZETLAND","NSW","2017","Unit: Standard","1","1","-","68","60","2011","Not Disclosed","01 Sep 2026","-","Pending Settlement Advice","Ray White Touma Taylor - Redfern"
"501/17 GADIGAL AVENUE ","ZETLAND","NSW","2017","Unit: Standard","1","1","-","60","57","2013","$650,000","01 Sep 2026","-","Pending Settlement Advice","McGrath Surry Hills"
"202/8 ROSE VALLEY WAY ","ZETLAND","NSW","2017","Unit: Standard","2","2","1","124","91","2017","Not Disclosed","01 Sep 2026","-","Pending Settlement Advice","The Property Investors Alliance"
"5/36B FAIRFAX ROAD ","BELLEVUE HILL","NSW","2023","Unit: Studio","-","1","-","968","-","1995","$552,500","01 Sep 2026","-","Pending Settlement Advice","Ppd Real Estate"
"5601/34 WELLINGTON STREET ","BONDI","NSW","2026","Unit: Standard","2","2","-","10,085","92","2016","$2,600,000","01 Sep 2026","-","Pending Settlement Advice","McGrath Double Bay"
"3/8 CARTHONA AVENUE ","DARLING POINT","NSW","2027","Unit: Standard","3","2","3","-","-","-","Not Disclosed","01 Sep 2026","-","Pending Settlement Advice","Raine & Horne Double Bay"
"5/776 NEW SOUTH HEAD ROAD ","ROSE BAY","NSW","2029","Unit: Standard","2","1","1","609","95","1930","Not Disclosed","01 Sep 2026","-","Pending Settlement Advice","Raine & Horne Double Bay"
"1/64-68 MONS AVENUE ","MAROUBRA","NSW","2035","Unit","2","1","2","70","66","1930","$1,050,000","01 Sep 2026","-","Pending Settlement Advice","Belle Property Randwick"
"17/24 GORDON STREET ","PADDINGTON","NSW","2021","Unit","1","1","-","79","63","2017","$1,480,000","31 Aug 2026","-","Pending Settlement Advice","LJ Hooker Double Bay"
